epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.5837059860879725,1.1250775342291974,0.5320970042796006,0.7330226364846871
2,1.0107502991502935,0.8696375438507568,0.7390870185449359,0.7463382157123835
3,0.803314366733486,0.719550204086811,0.7639087018544936,0.7656458055925432
4,0.7025159518827092,0.7257231160047206,0.7706134094151212,0.8042609853528628
5,0.6129857496781783,0.6263129695298824,0.7948644793152639,0.7956058588548602
6,0.5478727539154616,0.6806436735898891,0.8115549215406562,0.7929427430093209
7,0.504369672963565,0.6238678655725844,0.8176890156918688,0.818242343541944
8,0.4660636501556093,0.6112264924226923,0.8243937232524964,0.8055925432756325
9,0.3921425590799613,0.5541176239543772,0.8407988587731812,0.8195739014647138
10,0.38890309242362325,0.5888377561214122,0.8446504992867332,0.8415446071904128
11,0.360718240047043,0.6193917231990936,0.8509272467902995,0.822237017310253
12,0.3157067530873147,0.5378481232105418,0.8639087018544935,0.8242343541944075
13,0.32793446469374676,0.529109462144527,0.8680456490727532,0.818242343541944
14,0.25667426955293526,0.6666796965167877,0.8801711840228246,0.822237017310253
15,0.30394128169864415,0.5114300289052598,0.8721825962910128,0.8575233022636485
16,0.28439437992532146,0.5609359915586228,0.8848787446504993,0.8715046604527297
17,0.2314805338328535,0.5898974113007809,0.8927246790299572,0.8448735019973369
18,0.21742974921044977,0.5398633232776154,0.8952924393723253,0.8388814913448736
19,0.21071041065522217,0.6118571701201987,0.8990014265335236,0.8521970705725699
20,0.22630633889612825,0.578448825852668,0.8840228245363766,0.8388814913448736
