epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.1595594221895391,0.7598872387662847,0.6770328102710413,0.7549933422103862
2,0.6781703214753758,0.5626207526693953,0.7706134094151212,0.8062583222370173
3,0.5577738564122807,0.5305153958975001,0.8112696148359486,0.8282290279627164
4,0.48492994586175137,0.4503200520226296,0.8322396576319544,0.8455392809587217
5,0.43279400129209866,0.4316682669710606,0.8507845934379458,0.8541944074567244
