epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.8158421250906858,0.5825093927535605,0.7339514978601998,0.8089214380825566
2,0.5623415220867504,0.5025287232500442,0.8108416547788873,0.8302263648468708
3,0.46359741467643867,0.4594613494391137,0.8362339514978602,0.8362183754993342
4,0.3965700028294867,0.4288460041614289,0.8577746077032811,0.8428761651131824
5,0.35422388362613594,0.38990657348582086,0.8730385164051355,0.8681757656458056
6,0.3198308272795244,0.4989246218762499,0.8861626248216833,0.8242343541944075
7,0.2793859118934382,0.40114847079236454,0.8980028530670471,0.8648468708388815
8,0.23939079344272612,0.4231154652352029,0.9135520684736091,0.8568575233022636
9,0.2320476176047867,0.350229264415325,0.9172610556348074,0.881491344873502
10,0.18957315472547304,0.40530225507756495,0.933095577746077,0.8541944074567244
11,0.17311426142907954,0.35296476370793706,0.936376604850214,0.8828229027962716
12,0.15725616184909913,0.41224038141204955,0.9423680456490727,0.8641810918774967
13,0.13879992030137642,0.37777649952059095,0.9537803138373752,0.877496671105193
14,0.13762108049440114,0.3597129557995086,0.9480741797432239,0.881491344873502
15,0.11443589311198923,0.433922493077339,0.9603423680456491,0.8715046604527297
16,0.1105289204437709,0.41362804420133853,0.959771754636234,0.8801597869507324
17,0.09996211382835596,0.3655853529084236,0.9647646219686162,0.8901464713715047
18,0.08919459353941916,0.37560202395345305,0.9673323823109843,0.8901464713715047
19,0.09603333694394678,0.4133030368768154,0.9716119828815977,0.8788282290279628
20,0.11917717808603563,0.40058034660413544,0.9574893009985734,0.8821571238348869
