epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.8110497037118132,0.5924689839494989,0.7298145506419401,0.8015978695073236
2,0.5545592322268269,0.4769995906885634,0.8068473609129815,0.8382157123834887
3,0.4590871082788164,0.4246000035646114,0.8393723252496433,0.8435419440745673
4,0.4098131884905425,0.4073283853048974,0.856490727532097,0.8528628495339547
5,0.3539263690398498,0.39764269060911017,0.8731811697574893,0.8628495339547271
6,0.3130690005015243,0.40294659787670095,0.8853067047075607,0.8608521970705726
7,0.2856970071792603,0.35621797673879785,0.8994293865905849,0.8708388814913449
8,0.25230127335949376,0.3738009271786568,0.9052781740370899,0.8681757656458056
9,0.2229489134793932,0.3797984464054412,0.9196861626248217,0.8748335552596538
10,0.21687273119830272,0.3767047182042548,0.9199714693295292,0.8635153129161118
11,0.17891319755210794,0.3932995748646716,0.9355206847360913,0.8794940079893475
12,0.16646506109020925,0.35052258497539984,0.9409415121255349,0.8841544607190412
13,0.14665935686366124,0.3637516165667392,0.950641940085592,0.8781624500665779
14,0.16244445523585785,0.4103149968258878,0.9388017118402282,0.8515312916111851
15,0.1314234590242532,0.3784489653846051,0.9530670470756063,0.8861517976031957
16,0.12802287639880722,0.3680522202494297,0.9537803138373752,0.8834886817576565
17,0.10903005564415996,0.37037970411016585,0.965620542082739,0.8821571238348869
18,0.11575225111605092,0.38331602989359104,0.9580599144079885,0.8874833555259654
19,0.11610369300469756,0.36751905947606617,0.9600570613409415,0.8881491344873502
20,0.09951896620491012,0.43301681143806336,0.9663338088445078,0.8788282290279628
