epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.580680371143601,1.0863113035546972,0.5333808844507846,0.7057256990679095
2,1.0091558598659256,0.8152309307392608,0.7238231098430813,0.7749667110519307
3,0.8253648385405541,0.7007690322525958,0.749358059914408,0.7609853528628495
4,0.7050113505260511,0.7253014289952339,0.7637660485021398,0.7856191744340879
5,0.6216426041315902,0.7604665604043515,0.7813124108416548,0.7882822902796272
6,0.5564376735890454,0.7409571567748455,0.7964336661911555,0.7623169107856191
7,0.5170900617810813,0.5752561983275921,0.8007132667617689,0.7896138482023968
8,0.46281204098327594,0.6032343847637481,0.8221112696148359,0.7736351531291611
9,0.43375130366872655,0.5992758337487566,0.8291012838801712,0.7876165113182424
10,0.37949493744156576,0.6251914491678806,0.8279600570613409,0.8175765645805593
11,0.3703329772603783,0.6065029814205272,0.8359486447931527,0.8115845539280959
12,0.33653062121434646,0.643003022417109,0.8504992867332383,0.7976031957390146
13,0.29228485196151516,0.5663188787850928,0.861055634807418,0.8388814913448736
14,0.2965985029935837,0.5475486776930221,0.8596291012838801,0.833555259653795
15,0.2569601892747662,0.5322358538495734,0.8718972895863053,0.829560585885486
16,0.2413540446114811,0.5269837105210792,0.8754636233951498,0.844207723035952
17,0.22435220441018994,0.592452577691763,0.8838801711840228,0.8355525965379494
18,0.21079786704345183,0.6141917355200077,0.8864479315263909,0.8249001331557922
19,0.23801785493269562,0.650267594355218,0.8821683309557775,0.8455392809587217
20,0.1766255182552744,0.6093302021159771,0.896718972895863,0.8648468708388815
